date,category,type,operator,yom,engine,engine_model,flight_phase,flight_type,site,location,country,region,latitude,longitude,aircraft_damage,occupants,fatalities,other_fatalities,cause
1970-04-01,Accident,Antonov AN-24,Aeroflot - Russian International Airlines,1967,Multi Turboprop Engines,Ivchenko AI-24,Flight,Scheduled Revenue Flight,"Plain, Valley","Toguchin, Novosibirsk oblast",Russia,Asia,55.23769,84.402458,Destroyed,45,45,0,Other causes
1970-04-01,Accident,Sud-Aviation SE-210 Caravelle,Royal Air Maroc - RAM,1960,Multi Jet Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Casablanca-Nouasseur (Mohammed V), Grand Casablanca",Morocco,Africa,28.3347722,-10.371337908392647,Destroyed,82,61,0,Human factor
1970-04-02,Unknown,De Havilland DHC-4 Caribou,United States Air Force - USAF (since 1947),1962,Multi Piston Engines,Unknown,Flight,Supply,"Plain, Valley","Dak Seang, Kon Tum Province",Vietnam,Asia,15.9266657,107.9650855,Destroyed,3,3,0,"Terrorism act, hijacking, sabotage, any kind of hostile action"
1970-04-02,Unknown,Cessna 401,Roberts Construction,1969,Unknown,Unknown,Landing (descent or approach),Executive/Corporate/Business,Airport (less than 10 km from airport),"Morrisville, North Carolina",United States of America,North America,35.824341,-78.8300321,Unknown,5,5,0,Weather
1970-04-03,Unknown,Boeing B-52 Stratofortress,United States Air Force - USAF (since 1947),1955,Unknown,Unknown,Landing (descent or approach),Training,Airport (less than 10 km from airport),"Ellsworth AFB, South Dakota",United States of America,North America,44.1471806,-103.0867515079389,Unknown,9,0,0,Unknown
1970-04-04,Accident,Avia 14,Aeroflot - Russian International Airlines,1957,Multi Piston Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Zaporozhye, Zaporizhia Oblast",Ukraine,Europe,47.8507859,35.1182867,Destroyed,35,7,0,Human factor
1970-04-04,Unknown,De Havilland DHC-4 Caribou,United States Air Force - USAF (since 1947),1963,Multi Piston Engines,Unknown,Flight,Supply,"Plain, Valley","Dak Seang, Kon Tum Province",Vietnam,Asia,15.9266657,107.9650855,Destroyed,3,3,0,"Terrorism act, hijacking, sabotage, any kind of hostile action"
1970-04-06,Unknown,De Havilland DH.104 Dove,Royal New Zealand Air Force - RNZAF,1953,Unknown,Unknown,Flight,Training,Mountains,"Lindis Pass, Otago Regional Council",New Zealand,Oceania,-41.5000831,172.8344077,Unknown,3,3,0,Human factor
1970-04-06,Unknown,De Havilland DHC-4 Caribou,United States Air Force - USAF (since 1947),1964,Multi Piston Engines,Unknown,Flight,Supply,"Plain, Valley","Dak Seang, Kon Tum Province",Vietnam,Asia,15.9266657,107.9650855,Destroyed,3,3,0,"Terrorism act, hijacking, sabotage, any kind of hostile action"
1970-04-07,Accident,Britten-Norman Islander,Britten-Norman,1970,Multi Piston Engines,Unknown,Landing (descent or approach),Demonstration,Airport (less than 10 km from airport),"Rawalpindi, Punjab",India,Asia,33.5914237,73.0535122,Destroyed,2,0,0,Other causes
1970-04-08,Unknown,Grumman E-2C Hawkeye,United States Navy - USN,1951,Unknown,Unknown,Flight,Survey / Patrol / Reconnaissance,"Lake, Sea, Ocean, River","Gulf of Tonkin, All Vietnam",Vietnam,Asia,15.9266657,107.9650855,Unknown,5,5,0,Technical failure
1970-04-09,Unknown,De Havilland DH.104 Dove,McAlpine Aviation,1967,Unknown,Unknown,Landing (descent or approach),Positioning,City,"Wolverhampton, West Midlands",United Kingdom,Europe,52.5847651,-2.127567,Unknown,2,2,1,Human factor
