name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height
AEROSPATIALE AS-332L1 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-332L Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-332M1 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-332M Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-532SC Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-332L Tiger,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE Hkp10 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-532UL Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE Tiger,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-332B Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-332B1 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-332L2 Super Puma Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m
EUROCOPTER Super Puma Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m
EUROCOPTER AS-532U2 Cougar Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m
EUROCOPTER AS-532A2 Cougar Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m
EUROCOPTER AS-332L2 Super Puma Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m
