name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height,manufactured_as
FOUGA CM-175 Zephyr,FOUGA,CM-175 Zephyr,Narrow,,Fixed Wing,,Jet,Multi,12.15 m,10.06 m,2.80 m,"['VALMET CM-170R Magister', 'VALMET Magister', 'SUD Magister', 'SUDFLUG CM-170R Magister', 'SUDFLUG Magister', 'SUD CM-170R Magister', 'POTEZ Zephyr', 'POTEZ Magister', 'POTEZ CM-175 Zephyr', 'POTEZ CM-170R Magister', 'POTEZ AIR-FOUGA CM-170R Magister', 'POTEZ AIR-FOUGA Zephyr', 'POTEZ AIR-FOUGA CM-175 Zephyr', 'POTEZ AIR-FOUGA Magister', 'IAI Tzukit', 'IAI CM-170R Magister', 'IAI CM-170R Tzukit', 'IAI Magister', 'FOUGA Magister', 'FOUGA CM-170R Magister', 'AIR-FOUGA Magister', 'AIR-FOUGA CM-170R Magister', 'AEROSPATIALE Magister', 'AEROSPATIALE CM-170R Magister']"
GANZAVIA GAK-22 Dino,GANZAVIA,GAK-22 Dino,Narrow,,Fixed Wing,,Piston,Single,7.60 m,6.20 m,2.80 m,"['GANZAVIA GAK-22 Dino', 'GANZAVIA Dino']"
GATES LEARJET Learjet 28,GATES LEARJET,Learjet 28,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,13.35 m,14.50 m,3.73 m,"['GATES LEARJET 29', 'GATES LEARJET 28']"
GATES LEARJET Learjet 31,GATES LEARJET,Learjet 31,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,13.50 m,14.80 m,3.80 m,"['LEARJET 31', 'GATES LEARJET 31']"
GATES LEARJET Learjet 35,GATES LEARJET,Learjet 35,Narrow,Low wing with wing tip tanks,Fixed Wing,T-tail,Jet,Multi,12.00 m,14.80 m,3.70 m,"['LEARJET RC-35', 'LEARJET C-21', 'LEARJET U-36', 'LEARJET VU-35', 'LEARJET 36', 'LEARJET 35', 'LEARJET UC-36', 'GATES LEARJET RC-36', 'GATES LEARJET UC-36', 'GATES LEARJET UC-35', 'GATES LEARJET U-36', 'GATES LEARJET 36', 'GATES LEARJET RC-35', 'GATES LEARJET R-35', 'GATES LEARJET 35', 'GATES LEARJET C-21']"
GATES LEARJET Learjet 55,GATES LEARJET,Learjet 55,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,13.30 m,16.80 m,4.50 m,"['LEARJET VU-55', 'LEARJET 55', 'GATES LEARJET 55']"
GENERAL ATOMICS AERONAUTICAL SYSTEMS MQ-9 Reaper,GENERAL ATOMICS AERONAUTICAL SYSTEMS,MQ-9 Reaper,Narrow,,UAV,,Turboprop,Single,20.00 m,11.00 m,3.60 m,
GENERAL DYNAMICS F-111 Aardvark,GENERAL DYNAMICS,F-111 Aardvark,Narrow,,Fixed Wing,,Jet,Multi,19.20 m,22.40 m,5.22 m,"['GRUMMAN EF-111 Raven', 'GENERAL DYNAMICS RF-111 Aardvark', 'GENERAL DYNAMICS Raven', 'GENERAL DYNAMICS F-111 Aardvark', 'GENERAL DYNAMICS EF-111 Raven', 'GENERAL DYNAMICS Aardvark', 'GRUMMAN Raven']"
GENERAL DYNAMICS F-16 Fighting Falcon,GENERAL DYNAMICS,F-16 Fighting Falcon,Narrow,Mid wing,Fixed Wing,Regular tail (Anhedral),Jet,Single,10.00 m,15.00 m,5.10 m,"['TUSAS Fighting Falcon', 'TUSAS F-16 Fighting Falcon', 'SABCA Fighting Falcon', 'SABCA F-16 Fighting Falcon', 'SAMSUNG F-16 Fighting Falcon', 'SAMSUNG Fighting Falcon', 'LOCKHEED MARTIN F-16 Sufa', 'LOCKHEED MARTIN F-16 Desert Falcon', 'LOCKHEED MARTIN Desert Falcon', 'LOCKHEED MARTIN F-16 Fighting Falcon', 'LOCKHEED MARTIN Fighting Falcon', 'LOCKHEED F-16 Fighting Falcon', 'LOCKHEED Fighting Falcon', 'LOCKHEED MARTIN Sufa', 'KOREA AEROSPACE Fighting Falcon', 'KOREA AEROSPACE F-16 Fighting Falcon', 'GENERAL DYNAMICS Barak', 'FOKKER Fighting Falcon', 'FOKKER F-16 Fighting Falcon', 'GENERAL DYNAMICS F-16N Fighting Falcon', 'GENERAL DYNAMICS NF-16 Fighting Falcon', 'GENERAL DYNAMICS Netz', 'GENERAL DYNAMICS Fighting Falcon (F-16A/B/C/D/N)', 'GENERAL DYNAMICS F-16D Fighting Falcon', 'GENERAL DYNAMICS TF-16 Fighting Falcon', 'GENERAL DYNAMICS Brakeet', 'GENERAL DYNAMICS F-16 Barak', 'GENERAL DYNAMICS F-16 Brakeet', 'GENERAL DYNAMICS F-16 Netz', 'GENERAL DYNAMICS F-16A Fighting Falcon', 'GENERAL DYNAMICS F-16B Fighting Falcon', 'GENERAL DYNAMICS F-16C Fighting Falcon']"
GROB G-109 Ranger,GROB,G-109 Ranger,Narrow,Low wing,Fixed Wing,T-tail,Piston,Single,17.40 m,8.10 m,1.70 m,"['GROB Vigilant', 'GROB Ranger (G-109)', 'GROB G-109 Ranger', 'GROB G-109', 'GROB G-109 Vigilant']"
GROB G-115,GROB,G-115,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Single,10.00 m,7.54 m,2.40 m,"['GROB G-115A', 'GROB G-115B', 'GROB G-115D', 'GROB G-115C', 'GROB G-115E Tutor', 'GROB G-115E', 'GROB Heron', 'GROB G-115D Bavarian', 'GROB Tutor', 'GROB G-115D Heron', 'GROB Bavarian', 'GROB G-115']"
GRUMMAN A-6,GRUMMAN,A-6,Narrow,Mid wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,16.20 m,18.20 m,4.90 m,"['GRUMMAN A-6 Intruder', 'GRUMMAN EA-6 Prowler', 'GRUMMAN G-128 Intruder', 'GRUMMAN G-128 Prowler', 'GRUMMAN Intruder', 'GRUMMAN KA-6 Intruder', 'GRUMMAN Prowler']"
GRUMMAN F-14 Tomcat,GRUMMAN,F-14 Tomcat,Narrow,High swing wing,Fixed Wing,"Double fin, low set",Jet,Multi,19.50 m,19.10 m,4.90 m,"['GRUMMAN F-14 Tomcat', 'GRUMMAN Tomcat']"
GRUMMAN Gulfstream I,GRUMMAN,Gulfstream I,Narrow,,Fixed Wing,,Turboprop,Multi,23.93 m,19.43 m,6.93 m,"['GRUMMAN Academe', 'GRUMMAN G-159 Gulfstream 1', 'GRUMMAN VC-4 Gulfstream 1', 'GRUMMAN Gulfstream 1', 'GRUMMAN TC-4 Academe']"
