name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height,manufactured_as
CESSNA 414 Chancellor,CESSNA,414 Chancellor,Narrow,,Fixed Wing,,Piston,Multi,12.50 m,10.30 m,3.60 m,"['RILEY Rocket Power 414', 'CESSNA 414', 'CESSNA Chancellor', 'CESSNA 414 Chancellor', 'AVIONES COLOMBIA 414']"
CESSNA 421 Golden Eagle,CESSNA,421 Golden Eagle,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Multi,12.20 m,10.30 m,3.60 m,"['CESSNA 421', 'CESSNA 421 Golden Eagle', 'CESSNA 421 Executive Commuter', 'CESSNA Executive Commuter', 'CESSNA Golden Eagle']"
CESSNA 425 Corsair,CESSNA,425 Corsair,Narrow,,Fixed Wing,,Turboprop,Multi,13.50 m,10.90 m,3.90 m,"['CESSNA 425 Corsair', 'CESSNA 425 Conquest 1', 'CESSNA Corsair', 'CESSNA Conquest 1']"
CESSNA 441 Conquest 2,CESSNA,441 Conquest 2,Narrow,Low wing,Fixed Wing,Regular tail (Dihedral),Turboprop,Multi,15.00 m,11.90 m,4.00 m,"['CESSNA 441 Conquest 2', 'CESSNA 441 Conquest', 'CESSNA Conquest 2', 'CESSNA Conquest']"
CESSNA 500 Citation,CESSNA,500 Citation,Narrow,,Fixed Wing,,Jet,Multi,14.40 m,13.30 m,4.40 m,"['CESSNA Citation 1', 'CESSNA Citation', 'CESSNA 500 Citation', 'CESSNA 500 Citation 1']"
CESSNA 501 Citation 1SP,CESSNA,501 Citation 1SP,Narrow,,Fixed Wing,,Jet,Multi,14.40 m,13.30 m,4.40 m,"['CESSNA Citation 1SP', 'CESSNA 501 Citation 1SP']"
CESSNA 510 Citation Mustang,CESSNA,510 Citation Mustang,Narrow,,Fixed Wing,,Jet,Multi,13.16 m,12.37 m,4.09 m,"['CESSNA 510 Citation Mustang', 'CESSNA Citation Mustang']"
CESSNA 525 CitationJet,CESSNA,525 CitationJet,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,14.30 m,13.00 m,4.20 m,"['CESSNA 525 CitationJet', 'CESSNA 525 Citation CJ1', 'CESSNA Citation CJ1', 'CESSNA CitationJet (525)']"
CESSNA 550 Citation 2,CESSNA,550 Citation 2,Narrow,,Fixed Wing,,Jet,Multi,15.90 m,14.40 m,4.60 m,"['CESSNA 550 Citation Bravo', 'CESSNA 552 Citation 2', 'CESSNA 550 Citation 2', 'CESSNA Citation S2', 'CESSNA Citation 2', 'CESSNA T-47 Citation 2', 'CESSNA S550 Citation S2', 'CESSNA Citation Bravo']"
CESSNA 551 Citation II SP,CESSNA,551 Citation II SP,Narrow,,Fixed Wing,,Jet,Multi,15.90 m,14.39 m,4.57 m,"['CESSNA 551 Citation 2SP', 'CESSNA Citation 2SP']"
CESSNA 560 Citation 5 Ultra,CESSNA,560 Citation 5 Ultra,Narrow,,Fixed Wing,,Jet,Multi,13.80 m,14.90 m,4.20 m,"['CESSNA 560 Citation Encore', 'CESSNA 560 Citation Ultra', 'CESSNA UC-35 Citation Encore', 'CESSNA Citation 5', 'CESSNA OT-47 Citation Ultra', 'CESSNA 560 Citation 5', 'CESSNA UC-35 Citation Ultra', 'CESSNA Citation Encore', 'CESSNA Citation Ultra']"
CESSNA 560X Citation Excel,CESSNA,560X Citation Excel,Narrow,,Fixed Wing,,Jet,Multi,17.00 m,15.80 m,5.20 m,"['CESSNA Citation XLS', 'CESSNA 560XL Citation XLS', 'CESSNA 560XL Citation Excel', 'CESSNA Citation Excel']"
CESSNA 650 Citation 3/6/7,CESSNA,650 Citation 3/6/7,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,16.31 m,16.90 m,5.11 m,"['CESSNA Citation 3', 'CESSNA Citation 6', 'CESSNA 650 Citation 3', 'CESSNA 650 Citation 6', 'CESSNA 650 Citation 7', 'CESSNA Citation 7']"
CESSNA 750 Citation 10,CESSNA,750 Citation 10,Narrow,,Fixed Wing,,Jet,Multi,19.50 m,22.00 m,5.80 m,"['CESSNA 750 Citation 10', 'CESSNA Citation 10']"
CESSNA 177RG Cardinal RG,CESSNA,177RG Cardinal RG,Narrow,,Fixed Wing,,Piston,Single,10.82 m,8.44 m,2.62 m,"['REIMS Cardinal RG', 'REIMS F177RG Cardinal RG', 'CESSNA 177RG Cardinal RG', 'CESSNA Cardinal RG', 'AVIONES COLOMBIA 177RG']"
CESSNA R182,CESSNA,R182,Narrow,,Fixed Wing,,Piston,Single,10.90 m,8.50 m,2.80 m,"['REIMS Skylane RG', 'REIMS FR182 Skylane RG', 'CESSNA Turbo Skylane RG', 'CESSNA TR182 Turbo Skylane RG', 'CESSNA Skylane RG', 'CESSNA R182 Skylane RG', 'AVIONES COLOMBIA R182']"
CESSNA Caravan 2,CESSNA,Caravan 2,Narrow,Low wing,Fixed Wing,Cruciform tail,Turboprop,Multi,15.10 m,12.40 m,4.00 m,"['REIMS Vigilant', 'REIMS F406 Vigilant', 'REIMS Caravan 2', 'REIMS F406 Caravan 2', 'CESSNA Caravan 2', 'CESSNA F406 Caravan 2', 'CESSNA F406 Vigilant', 'CESSNA Vigilant']"
CESSNA P210 Pressurized Centurion,CESSNA,P210 Pressurized Centurion,Narrow,High wing,Fixed Wing,"Regular tail, low set",Piston,Single,11.20 m,8.59 m,2.92 m,"['RILEY Rocket P210', 'RILEY Super P210', 'CESSNA P210 Pressurized Centurion', 'CESSNA Pressurized Centurion', 'AVIONES COLOMBIA P210']"
CESSNA 318A/B/C,CESSNA,318A/B/C,Narrow,Low wing,Fixed Wing,Cruciform tail,Jet,Multi,10.30 m,8.90 m,2.80 m,"['CESSNA 318A', 'CESSNA 318C', 'CESSNA 318B', 'CESSNA T-37']"
CIRRUS SF-50 Vision,CIRRUS,SF-50 Vision,Narrow,Low wing,Fixed Wing,V-tail,Jet,Single,11.79 m,9.42 m,3.32 m,"['CIRRUS Vision', 'CIRRUS SF-50 Vision', 'CIRRUS SJ-X Vision']"
CIRRUS SR-20,CIRRUS,SR-20,Narrow,Low wing,Fixed Wing,"Regular tail, low set",Piston,Single,11.68 m,7.92 m,2.71 m,"['CIRRUS SR-20', 'CIRRUS SR-20 SRV', 'CIRRUS SRV']"
CIRRUS SR-22,CIRRUS,SR-22,Narrow,Low wing,Fixed Wing,"Regular tail, low set",Piston,Single,11.68 m,7.92 m,2.72 m,['CIRRUS SR-22']
Comco Ikarus C-42 Bison,Comco Ikarus,C-42 Bison,Narrow,,Fixed Wing,,Piston,Single,9.45 m,6.25 m,2.24 m,"['IKARUS Bison', 'IKARUS C-42 Bison', 'IKARUS C-42']"
COMMANDER 112,COMMANDER,112,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Single,10.00 m,7.60 m,2.60 m,"['ROCKWELL Commander 112', 'ROCKWELL Commander 114', 'ROCKWELL Gran Turismo Commander', 'ROCKWELL Alpine Commander', 'ROCKWELL 114 Commander 114', 'ROCKWELL 112 Commander 112', 'ROCKWELL 114 Gran Turismo Commander', 'ROCKWELL 112 Alpine Commander', 'NORTH AMERICAN ROCKWELL 112 Commander 112', 'NORTH AMERICAN ROCKWELL Commander 112', 'COMMANDER Commander 114', 'COMMANDER Commander 115']"
CONVAIR CV-580,CONVAIR,CV-580,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Turboprop,Multi,27.97 m,22.76 m,8.20 m,"['KELOWNA CV-5800', 'CONVAIR C-131H', 'CONVAIR CV-640', 'CONVAIR CV-580', 'CONVAIR CV-600', 'CANADAIR CL-66', 'CANADAIR CC-109 Cosmopolitan', 'CANADAIR CV-580', 'CANADAIR Cosmopolitan']"
CONVAIR CV-240 Convairliner,CONVAIR,CV-240 Convairliner,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Multi,32.10 m,24.80 m,8.50 m,"['CONVAIR CV-440 Metropolitan', 'CONVAIR C-131', 'CONVAIR VT-29', 'CONVAIR ET-29', 'CONVAIR HC-131', 'CONVAIR Metropolitan', 'CONVAIR VC-131G', 'CONVAIR T-29', 'CONVAIR Samaritan', 'CONVAIR C-131 Samaritan', 'CONVAIR Convairliner', 'CONVAIR CV-240 Convairliner', 'CONVAIR CV-340 Convairliner']"
DASSAULT Alpha Jet,DASSAULT,Alpha Jet,Narrow,High wing,Fixed Wing,"Regular tail, low set",Jet,Multi,9.11 m,12.29 m,4.19 m,"['SABCA Alpha Jet', 'DASSAULT-DORNIER Alpha Jet', 'AOI Alpha Jet']"
DASSAULT Etendard 4,DASSAULT,Etendard 4,Narrow,,Fixed Wing,,Jet,Single,9.60 m,14.30 m,3.90 m,"['DASSAULT Super Etendard', 'DASSAULT Etendard 4']"
DASSAULT Falcon 2000,DASSAULT,Falcon 2000,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,19.30 m,20.20 m,7.10 m,['DASSAULT Falcon 2000']
DASSAULT Falcon 900,DASSAULT,Falcon 900,Narrow,Low wing,Fixed Wing,Cruciform tail,Jet,Multi,19.30 m,20.20 m,7.60 m,"['DASSAULT Mystere 900', 'DASSAULT Falcon 900']"
DASSAULT Falcon 10,DASSAULT,Falcon 10,Narrow,Low wing,Fixed Wing,Cruciform tail,Jet,Multi,13.08 m,13.86 m,4.61 m,"['DASSAULT Mystere 10', 'DASSAULT Falcon 10', 'DASSAULT Falcon 100', 'DASSAULT Mystere 100']"
DASSAULT Falcon 20,DASSAULT,Falcon 20,Narrow,Low wing,Fixed Wing,Cruciform tail,Jet,Multi,16.30 m,17.15 m,5.32 m,"['DASSAULT HU-25 Guardian', 'DASSAULT Mystere 200', 'DASSAULT Mystere 20', 'DASSAULT Guardian', 'DASSAULT Gardian', 'DASSAULT Falcon 200', 'DASSAULT Falcon 20']"
DASSAULT Falcon 50,DASSAULT,Falcon 50,Narrow,,Fixed Wing,,Jet,Multi,18.90 m,18.40 m,7.00 m,"['DASSAULT Mystere 50', 'DASSAULT Falcon 50']"
DASSAULT Falcon 7X,DASSAULT,Falcon 7X,Narrow,,Fixed Wing,,Jet,Multi,26.21 m,23.19 m,7.80 m,['DASSAULT Falcon 7X']
DASSAULT Mirage 2000 Vajra,DASSAULT,Mirage 2000 Vajra,Narrow,Delta wing,Fixed Wing,No tail plane,Jet,Single,9.10 m,14.40 m,5.20 m,"['DASSAULT Mirage 2000', 'DASSAULT Vajra']"
DASSAULT Mirage F1,DASSAULT,Mirage F1,Narrow,High wing,Fixed Wing,"Regular tail, mid set",Jet,Single,8.40 m,15.00 m,4.50 m,['DASSAULT Mirage F1']
DASSAULT Rafale,DASSAULT,Rafale,Narrow,,Fixed Wing,,Jet,Multi,10.80 m,15.27 m,5.34 m,['DASSAULT Rafale']
DE HAVILLAND CANADA DHC-3T,DE HAVILLAND CANADA,DHC-3T,Narrow,,Fixed Wing,,Turboprop,Single,17.69 m,12.80 m,3.83 m,"['VARDAX Vazar Dash 3', 'DE HAVILLAND CANADA Turbo Otter', 'DE HAVILLAND CANADA DHC-3 Turbo Otter']"
DE HAVILLAND CANADA Dash 8 Q100,DE HAVILLAND CANADA,Dash 8 Q100,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,25.90 m,22.25 m,7.50 m,"['DE HAVILLAND CANADA DHC-8-100 Dash 8', 'DE HAVILLAND CANADA CT-142 Dash 8', 'DE HAVILLAND CANADA E-9 Dash 8', 'DE HAVILLAND CANADA Dash 8 (100)', 'DE HAVILLAND CANADA CC-142 Dash 8']"
DE HAVILLAND CANADA DHC-2,DE HAVILLAND CANADA,DHC-2,Narrow,,Fixed Wing,,Piston,Single,14.63 m,9.22 m,2.74 m,"['DE HAVILLAND CANADA U-6 Beaver', 'DE HAVILLAND CANADA DHC-2 Mk1 Beaver', 'DE HAVILLAND CANADA Beaver', 'DE HAVILLAND CANADA L-20 Beaver', 'AIRTECH (1) Beaver', 'AIRTECH (1) DHC-2-PZL3S Beaver']"
DE HAVILLAND CANADA DHC-3,DE HAVILLAND CANADA,DHC-3,Narrow,,Fixed Wing,,Piston,Single,17.69 m,12.80 m,3.83 m,"['DE HAVILLAND CANADA UC Otter', 'DE HAVILLAND CANADA U-1 Otter', 'DE HAVILLAND CANADA Otter', 'DE HAVILLAND CANADA NU-1 Otter', 'DE HAVILLAND CANADA DHC-3 Otter', 'AIRTECH (1) Otter', 'AIRTECH (1) DHC-3-PZL3S Otter', 'AIRTECH (1) DHC-3-1000 Otter']"
DE HAVILLAND CANADA DHC-5,DE HAVILLAND CANADA,DHC-5,Narrow,,Fixed Wing,,Turboprop,Multi,29.26 m,24.08 m,8.73 m,"['DE HAVILLAND CANADA DHC-5 Buffalo', 'DE HAVILLAND CANADA C-115 Buffalo', 'DE HAVILLAND CANADA Buffalo', 'DE HAVILLAND CANADA C-8 Buffalo', 'DE HAVILLAND CANADA CC-115 Buffalo', 'DE HAVILLAND CANADA CV-7 Buffalo']"
DE HAVILLAND CANADA DHC-6,DE HAVILLAND CANADA,DHC-6,Narrow,High wing (wing struts),Fixed Wing,"Regular tail, high set",Turboprop,Multi,19.80 m,15.10 m,5.90 m,"['SCENIC DHC-6 Vistaliner', 'SCENIC Vistaliner', 'DE HAVILLAND CANADA Twin Otter', 'DE HAVILLAND CANADA CC-138 Twin Otter', 'DE HAVILLAND CANADA UV-18 Twin Otter', 'DE HAVILLAND CANADA DHC-6 Twin Otter']"
DE HAVILLAND CANADA DHC-7,DE HAVILLAND CANADA,DHC-7,Narrow,High wing,Fixed Wing,T-tail,Turboprop,Multi,28.40 m,24.60 m,8.00 m,"['DE HAVILLAND CANADA DHC-7 Dash 7', 'DE HAVILLAND CANADA EO-5 Dash 7', 'DE HAVILLAND CANADA O-5 Dash 7', 'DE HAVILLAND CANADA RC-7 Dash 7', 'DE HAVILLAND CANADA Dash 7']"
DE HAVILLAND CANADA DHC-2T,DE HAVILLAND CANADA,DHC-2T,Narrow,,Fixed Wing,,Turboprop,Single,14.63 m,10.74 m,3.35 m,"['DE HAVILLAND CANADA Turbo Beaver', 'DE HAVILLAND CANADA DHC-2 Mk3 Turbo Beaver']"
DENEL AH-2 Rooivalk,DENEL,AH-2 Rooivalk,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.58 m,18.73 m,5.19 m,"['DENEL Rooivalk', 'DENEL AH-2 Rooivalk', 'DENEL CSH-2 Rooivalk', 'ATLAS CSH-2 Rooivalk', 'ATLAS Rooivalk']"
DG FLUGZEUGBAU DG-1000T,DG FLUGZEUGBAU,DG-1000T,Narrow,Mid wing,Fixed Wing,T-tail,Piston,Single,20.00 m,8.57 m,1.00 m,['DG FLUGZEUGBAU DG-1000T']
DIAMOND DA-36 E-Star,DIAMOND,DA-36 E-Star,Narrow,Low wing,Fixed Wing,T-tail,Electric,Single,16.00 m,7.10 m,1.70 m,
DIAMOND Twin Star,DIAMOND,Twin Star,Narrow,,Fixed Wing,,Piston,Multi,13.42 m,8.56 m,3.49 m,"['DIAMOND DA-42 Twin Star', 'DIAMOND Twin Star']"
DIAMOND DA50 Super Star,DIAMOND,DA50 Super Star,Narrow,Low wing (winglets),Fixed Wing,T-tail,Piston,Single,11.68 m,8.81 m,2.21 m,"['DIAMOND Magnum', 'DIAMOND DA-50 Magnum', 'DIAMOND SuperStar', 'DIAMOND DA-50SuperStar']"
DIAMOND HK-36 Super Dimona,DIAMOND,HK-36 Super Dimona,Narrow,Low wing,Fixed Wing,T-tail,Piston,Single,16.50 m,7.10 m,1.70 m,"['HOFFMANN Dimona', 'HOAC Super Dimona', 'HOAC HK-36 Super Dimona', 'HOFFMANN H-36 Dimona', 'DIAMOND HK-36 Eco Dimona', 'DIAMOND Eco Dimona', 'DIAMOND Katana Xtreme', 'DIAMOND HK-36 Super Dimona', 'DIAMOND HK-36 Turbo Xtreme', 'DIAMOND HK-36 Xtreme', 'DIAMOND HK-36 MPX', 'DIAMOND MPX', 'DIAMOND Super Dimona', 'DIAMOND Turbo Xtreme', 'DIAMOND HK-36 Katana Xtreme', 'DIAMOND Xtreme']"
